TRIAL,ARRAY_SIZE,TIME
0,10,12
1,20,6
2,30,5
3,40,9
4,50,9
5,60,9
6,70,10
7,80,9
8,90,10
9,100,11
10,110,15
11,120,14
12,130,13
13,140,14
14,150,15
15,160,16
16,170,21
17,180,18
18,190,18
19,200,19
20,210,21
21,220,26
22,230,23
23,240,25
24,250,24
25,260,31
26,270,29
27,280,32
28,290,33
29,300,36
30,310,38
31,320,40
32,330,42
33,340,38
34,350,47
35,360,47
36,370,50
37,380,62
38,390,57
39,400,56
40,410,60
41,420,57
42,430,66
43,440,64
44,450,70
45,460,65
46,470,73
47,480,72
48,490,77
49,500,92
50,510,79
51,520,78
52,530,84
53,540,81
54,550,86
55,560,86
56,570,91
57,580,89
58,590,94
59,600,93
60,610,99
61,620,100
62,630,102
63,640,103
64,650,103
65,660,110
66,670,109
67,680,111
68,690,113
69,700,120
70,710,146
71,720,118
72,730,120
73,740,123
74,750,123
75,760,127
76,770,129
77,780,134
78,790,135
79,800,140
80,810,141
81,820,142
82,830,144
83,840,201
84,850,151
85,860,158
86,870,162
87,880,167
88,890,178
89,900,188
90,910,195
91,920,216
92,930,220
93,940,264
94,950,240
95,960,256
96,970,262
97,980,267
98,990,268
99,1000,278
100,1010,287
101,1020,535
102,1030,309
103,1040,319
104,1050,329
105,1060,334
106,1070,324
107,1080,342
108,1090,348
109,1100,356
110,1110,371
111,1120,383
112,1130,399
113,1140,392
114,1150,391
115,1160,416
116,1170,414
117,1180,415
118,1190,439
119,1200,459
120,1210,596
121,1220,463
122,1230,454
123,1240,473
124,1250,491
125,1260,619
126,1270,507
127,1280,518
128,1290,530
129,1300,729
130,1310,511
131,1320,527
132,1330,547
133,1340,531
134,1350,567
135,1360,580
136,1370,588
137,1380,833
138,1390,562
139,1400,580
140,1410,591
141,1420,613
142,1430,615
143,1440,635
144,1450,684
145,1460,629
146,1470,616
147,1480,683
148,1490,674
149,1500,655
150,1510,676
151,1520,691
152,1530,895
153,1540,714
154,1550,705
155,1560,722
156,1570,723
157,1580,905
158,1590,735
159,1600,845
160,1610,752
161,1620,738
162,1630,728
163,1640,771
164,1650,766
165,1660,745
166,1670,779
167,1680,924
168,1690,798
169,1700,981
170,1710,806
171,1720,825
172,1730,1020
173,1740,777
174,1750,921
175,1760,995
176,1770,856
177,1780,929
178,1790,1003
179,1800,868
180,1810,880
181,1820,1021
182,1830,870
183,1840,879
184,1850,983
185,1860,1050
186,1870,860
187,1880,893
188,1890,955
189,1900,1177
190,1910,1160
191,1920,1175
192,1930,1175
193,1940,1137
194,1950,1263
195,1960,1152
196,1970,1246
197,1980,1223
198,1990,1161
199,2000,1110
200,2010,1087
201,2020,1201
202,2030,1168
203,2040,1155
204,2050,1108
205,2060,1097
206,2070,1178
207,2080,1209
208,2090,1196
209,2100,1001
210,2110,1112
211,2120,1302
212,2130,1027
213,2140,1159
214,2150,1061
215,2160,1069
216,2170,1241
217,2180,987
218,2190,1127
219,2200,1273
220,2210,1012
221,2220,1113
222,2230,1195
223,2240,1236
224,2250,1045
225,2260,1033
226,2270,1099
227,2280,1163
228,2290,1211
229,2300,1224
230,2310,1321
231,2320,1229
232,2330,1309
233,2340,1217
234,2350,1254
235,2360,1226
236,2370,1210
237,2380,1264
238,2390,1187
239,2400,1183
240,2410,1162
241,2420,1118
242,2430,1277
243,2440,1199
244,2450,1172
245,2460,1181
246,2470,1176
247,2480,1230
248,2490,1274
249,2500,1295
250,2510,1251
251,2520,1107
252,2530,1243
253,2540,1254
254,2550,1117
255,2560,1182
256,2570,1354
257,2580,1131
258,2590,1243
259,2600,1329
260,2610,1171
261,2620,1094
262,2630,1244
263,2640,1333
264,2650,1309
265,2660,1125
266,2670,1114
267,2680,1181
268,2690,1236
269,2700,1239
270,2710,1243
271,2720,1299
272,2730,1270
273,2740,1208
274,2750,1232
