TRIAL,ARRAY_SIZE,TIME
0,1010,452
1,1020,526
2,1030,454
3,1040,508
4,1050,522
5,1060,553
6,1070,689
7,1080,609
8,1090,626
9,1100,639
10,1110,649
11,1120,657
12,1130,695
13,1140,735
14,1150,725
15,1160,718
16,1170,734
17,1180,721
18,1190,760
19,1200,798
20,1210,809
21,1220,797
22,1230,797
23,1240,813
24,1250,877
25,1260,820
26,1270,853
27,1280,861
28,1290,866
29,1300,914
30,1310,902
31,1320,873
32,1330,885
33,1340,964
34,1350,930
35,1360,932
36,1370,921
37,1380,1036
38,1390,948
39,1400,968
40,1410,979
41,1420,1061
42,1430,990
43,1440,1008
44,1450,1008
45,1460,1036
46,1470,1035
47,1480,1043
48,1490,1117
49,1500,1102
50,1510,1096
51,1520,1144
52,1530,1128
53,1540,1104
54,1550,1122
55,1560,1143
56,1570,1154
57,1580,1129
58,1590,1165
59,1600,1263
60,1610,1199
61,1620,1205
62,1630,1185
63,1640,1193
64,1650,1246
65,1660,1228
66,1670,1327
67,1680,1245
68,1690,1310
69,1700,1265
70,1710,1298
71,1720,1269
72,1730,1313
73,1740,1277
74,1750,1328
75,1760,1292
76,1770,1343
77,1780,1314
78,1790,1328
79,1800,1318
80,1810,1335
81,1820,1365
82,1830,1349
83,1840,1362
84,1850,1354
85,1860,1398
86,1870,1357
87,1880,1393
88,1890,1406
89,1900,1373
90,1910,1421
91,1920,1404
92,1930,1397
93,1940,1395
94,1950,1383
95,1960,1388
96,1970,1455
97,1980,1424
98,1990,1428
99,2000,1454
