TRIAL,ARRAY_SIZE,TIME
0,1010,523
1,1020,556
2,1030,529
3,1040,571
4,1050,549
5,1060,565
6,1070,590
7,1080,566
8,1090,655
9,1100,665
10,1110,623
11,1120,652
12,1130,671
13,1140,722
14,1150,696
15,1160,704
16,1170,715
17,1180,742
18,1190,789
19,1200,794
20,1210,809
21,1220,830
22,1230,869
23,1240,999
24,1250,1008
25,1260,959
26,1270,965
27,1280,976
28,1290,968
29,1300,1002
30,1310,1005
31,1320,1060
32,1330,1037
33,1340,1197
34,1350,1077
35,1360,1209
36,1370,1149
37,1380,1143
38,1390,1105
39,1400,1106
40,1410,1121
41,1420,1131
42,1430,1216
43,1440,1177
44,1450,1228
45,1460,1239
46,1470,1200
47,1480,1239
48,1490,1245
49,1500,1244
50,1510,1349
51,1520,1233
52,1530,1270
53,1540,1397
54,1550,1338
55,1560,1368
56,1570,1297
57,1580,1293
58,1590,1362
59,1600,1339
60,1610,1323
61,1620,1357
62,1630,1345
63,1640,1429
64,1650,1362
65,1660,1447
66,1670,1444
67,1680,1483
68,1690,1426
69,1700,1424
70,1710,1470
71,1720,1488
72,1730,1503
73,1740,1485
74,1750,1515
75,1760,1493
76,1770,1564
77,1780,1478
78,1790,1545
79,1800,1592
80,1810,1575
81,1820,1517
82,1830,1555
83,1840,1575
84,1850,1552
85,1860,1585
86,1870,1628
87,1880,1612
88,1890,1580
89,1900,1609
90,1910,1674
91,1920,1593
92,1930,1642
93,1940,1635
94,1950,1678
95,1960,1692
96,1970,1680
97,1980,1640
98,1990,1708
99,2000,1668
